dim,scenario,algorithm,run,seed,success,length,time,firstSolutionTime,tPlanner,tShortcut,tPre,tOpt,nodes,iterations,turnSum,minClear,straightness,escapes,sideFlips,fallback
2d,狭窄,APF-only,1,20262904,1,279.791130,0.012927,0.012372,0.012927,NaN,NaN,NaN,NaN,64.0,46.450218,0.063261,0.727853,3.0,5.0,0
2d,狭窄,AB-IRRT*,1,20262904,1,212.885244,0.060177,0.008830,0.048619,0.000000,0.008830,0.050139,683.0,2000.0,2.346565,0.316946,0.956603,3.0,5.0,0
2d,狭窄,APF-only,2,20262905,1,279.791130,0.008741,0.008586,0.008741,NaN,NaN,NaN,NaN,64.0,46.450218,0.063261,0.727853,3.0,5.0,0
2d,狭窄,AB-IRRT*,2,20262905,1,212.885244,0.059061,0.008288,0.050323,0.000000,0.008288,0.050582,976.0,2000.0,2.346565,0.316946,0.956603,3.0,5.0,0
2d,狭窄,APF-only,3,20262906,1,279.791130,0.014420,0.014220,0.014420,NaN,NaN,NaN,NaN,64.0,46.450218,0.063261,0.727853,3.0,5.0,0
2d,狭窄,AB-IRRT*,3,20262906,1,212.885244,0.027474,0.007632,0.018861,0.000000,0.007632,0.019623,171.0,2000.0,2.346565,0.316946,0.956603,3.0,5.0,0
2d,狭窄,APF-only,4,20262907,1,279.791130,0.008578,0.008456,0.008578,NaN,NaN,NaN,NaN,64.0,46.450218,0.063261,0.727853,3.0,5.0,0
2d,狭窄,AB-IRRT*,4,20262907,1,212.885244,0.027169,0.008723,0.017753,0.000000,0.008723,0.017955,147.0,2000.0,2.346565,0.316946,0.956603,3.0,5.0,0
2d,狭窄,APF-only,5,20262908,1,279.791130,0.008273,0.008153,0.008273,NaN,NaN,NaN,NaN,64.0,46.450218,0.063261,0.727853,3.0,5.0,0
2d,狭窄,AB-IRRT*,5,20262908,1,212.885244,0.027363,0.010204,0.016622,0.000000,0.010204,0.017022,186.0,2000.0,2.346565,0.316946,0.956603,3.0,5.0,0
2d,狭窄,APF-only,6,20262909,1,279.791130,0.005613,0.005522,0.005613,NaN,NaN,NaN,NaN,64.0,46.450218,0.063261,0.727853,3.0,5.0,0
2d,狭窄,AB-IRRT*,6,20262909,1,212.885244,0.020533,0.007254,0.013026,0.000000,0.007254,0.013180,166.0,2000.0,2.346565,0.316946,0.956603,3.0,5.0,0
2d,狭窄,APF-only,7,20262910,1,279.791130,0.007078,0.006965,0.007078,NaN,NaN,NaN,NaN,64.0,46.450218,0.063261,0.727853,3.0,5.0,0
2d,狭窄,AB-IRRT*,7,20262910,1,212.885244,0.063403,0.005891,0.057200,0.000000,0.005891,0.057398,1218.0,2000.0,2.346565,0.316946,0.956603,3.0,5.0,0
2d,狭窄,APF-only,8,20262911,1,279.791130,0.006191,0.006098,0.006191,NaN,NaN,NaN,NaN,64.0,46.450218,0.063261,0.727853,3.0,5.0,0
2d,狭窄,AB-IRRT*,8,20262911,1,212.885244,0.064265,0.006488,0.057522,0.000000,0.006488,0.057678,1111.0,2000.0,2.346565,0.316946,0.956603,3.0,5.0,0
2d,狭窄,APF-only,9,20262912,1,279.791130,0.006988,0.006855,0.006988,NaN,NaN,NaN,NaN,64.0,46.450218,0.063261,0.727853,3.0,5.0,0
2d,狭窄,AB-IRRT*,9,20262912,1,212.885244,0.043707,0.006276,0.037203,0.000000,0.006276,0.037332,640.0,2000.0,2.346565,0.316946,0.956603,3.0,5.0,0
2d,狭窄,APF-only,10,20262913,1,279.791130,0.006687,0.006592,0.006687,NaN,NaN,NaN,NaN,64.0,46.450218,0.063261,0.727853,3.0,5.0,0
2d,狭窄,AB-IRRT*,10,20262913,1,212.885244,0.087276,0.006931,0.080021,0.000000,0.006931,0.080197,1175.0,2000.0,2.346565,0.316946,0.956603,3.0,5.0,0
2d,狭窄,APF-only,11,20262914,1,279.791130,0.006810,0.006692,0.006810,NaN,NaN,NaN,NaN,64.0,46.450218,0.063261,0.727853,3.0,5.0,0
2d,狭窄,AB-IRRT*,11,20262914,1,212.885244,0.033668,0.015007,0.018324,0.000000,0.015007,0.018487,191.0,2000.0,2.346565,0.316946,0.956603,3.0,5.0,0
2d,狭窄,APF-only,12,20262915,1,279.791130,0.010440,0.010182,0.010440,NaN,NaN,NaN,NaN,64.0,46.450218,0.063261,0.727853,3.0,5.0,0
2d,狭窄,AB-IRRT*,12,20262915,1,212.885244,0.028315,0.009454,0.018494,0.000000,0.009454,0.018724,189.0,2000.0,2.346565,0.316946,0.956603,3.0,5.0,0
2d,狭窄,APF-only,13,20262916,1,279.791130,0.015007,0.014832,0.015007,NaN,NaN,NaN,NaN,64.0,46.450218,0.063261,0.727853,3.0,5.0,0
2d,狭窄,AB-IRRT*,13,20262916,1,212.885244,0.026885,0.009689,0.016917,0.000000,0.009689,0.017063,172.0,2000.0,2.346565,0.316946,0.956603,3.0,5.0,0
2d,狭窄,APF-only,14,20262917,1,279.791130,0.008812,0.008672,0.008812,NaN,NaN,NaN,NaN,64.0,46.450218,0.063261,0.727853,3.0,5.0,0
2d,狭窄,AB-IRRT*,14,20262917,1,212.885244,0.069512,0.009592,0.059650,0.000000,0.009592,0.059802,1102.0,2000.0,2.346565,0.316946,0.956603,3.0,5.0,0
2d,狭窄,APF-only,15,20262918,1,279.791130,0.018236,0.017902,0.018236,NaN,NaN,NaN,NaN,64.0,46.450218,0.063261,0.727853,3.0,5.0,0
2d,狭窄,AB-IRRT*,15,20262918,1,212.885244,0.023799,0.008127,0.015407,0.000000,0.008127,0.015545,168.0,2000.0,2.346565,0.316946,0.956603,3.0,5.0,0
2d,狭窄,APF-only,16,20262919,1,279.791130,0.010383,0.010262,0.010383,NaN,NaN,NaN,NaN,64.0,46.450218,0.063261,0.727853,3.0,5.0,0
2d,狭窄,AB-IRRT*,16,20262919,1,212.885244,0.081626,0.009508,0.071829,0.000000,0.009508,0.071986,1206.0,2000.0,2.346565,0.316946,0.956603,3.0,5.0,0
2d,狭窄,APF-only,17,20262920,1,279.791130,0.007690,0.007467,0.007690,NaN,NaN,NaN,NaN,64.0,46.450218,0.063261,0.727853,3.0,5.0,0
2d,狭窄,AB-IRRT*,17,20262920,1,212.885244,0.061911,0.008140,0.053320,0.000000,0.008140,0.053642,1074.0,2000.0,2.346565,0.316946,0.956603,3.0,5.0,0
2d,狭窄,APF-only,18,20262921,1,279.791130,0.006065,0.005968,0.006065,NaN,NaN,NaN,NaN,64.0,46.450218,0.063261,0.727853,3.0,5.0,0
2d,狭窄,AB-IRRT*,18,20262921,1,212.885244,0.069773,0.006518,0.062785,0.000000,0.006518,0.063107,982.0,2000.0,2.346565,0.316946,0.956603,3.0,5.0,0
2d,狭窄,APF-only,19,20262922,1,279.791130,0.008932,0.008797,0.008932,NaN,NaN,NaN,NaN,64.0,46.450218,0.063261,0.727853,3.0,5.0,0
