dim,scenario,algorithm,run,firstLen
2d,狭窄,AB-IRRT*,24,212.885243942151
2d,狭窄,RRT*,25,269.589159614487
2d,狭窄,Informed-RRT*,25,269.589159614487
2d,狭窄,PRM*,25,243.85010348508
2d,狭窄,FMT*,25,231.754898715056
2d,狭窄,BIT*,25,224.235763913169
2d,狭窄,RRT#,25,269.533997523659
2d,狭窄,AB-IRRT*,25,212.885243942151
2d,狭窄,RRT*,26,257.723999629828
2d,狭窄,Informed-RRT*,26,257.723999629828
2d,狭窄,PRM*,26,332.271748721041
2d,狭窄,FMT*,26,268.564944675169
2d,狭窄,BIT*,26,254.548043482746
2d,狭窄,RRT#,26,256.165843306568
2d,狭窄,AB-IRRT*,26,212.885243942151
2d,狭窄,RRT*,27,248.535570786364
2d,狭窄,Informed-RRT*,27,248.535570786364
2d,狭窄,PRM*,27,232.450792865883
2d,狭窄,FMT*,27,245.445899457143
2d,狭窄,BIT*,27,240.278176913746
2d,狭窄,RRT#,27,245.908447470207
2d,狭窄,AB-IRRT*,27,212.885243942151
2d,狭窄,RRT*,28,274.958723526925
2d,狭窄,Informed-RRT*,28,274.958723526925
2d,狭窄,PRM*,28,260.656523443829
2d,狭窄,FMT*,28,244.952401523998
2d,狭窄,RRT#,28,274.310315666964
2d,狭窄,AB-IRRT*,28,212.885243942151
2d,狭窄,RRT*,29,240.058112953824
2d,狭窄,Informed-RRT*,29,240.058112953824
2d,狭窄,PRM*,29,233.748736384204
2d,狭窄,FMT*,29,251.320188581656
2d,狭窄,BIT*,29,238.254237757183
2d,狭窄,RRT#,29,238.982835198452
2d,狭窄,AB-IRRT*,29,212.885243942151
2d,狭窄,RRT*,30,250.955872930408
2d,狭窄,Informed-RRT*,30,250.955872930408
2d,狭窄,PRM*,30,254.376488334524
2d,狭窄,FMT*,30,262.354257796852
2d,狭窄,BIT*,30,237.37109727616
2d,狭窄,RRT#,30,243.912356523544
2d,狭窄,AB-IRRT*,30,212.885243942151
2d,狭窄,RRT*,31,271.300921135776
2d,狭窄,Informed-RRT*,31,271.300921135776
2d,狭窄,PRM*,31,231.497992147278
2d,狭窄,FMT*,31,260.275347754018
2d,狭窄,BIT*,31,254.279611069482
2d,狭窄,RRT#,31,267.26860619794
2d,狭窄,AB-IRRT*,31,212.885243942151
2d,狭窄,RRT*,32,227.953454571376
2d,狭窄,Informed-RRT*,32,227.953454571376
2d,狭窄,PRM*,32,271.048827595867
2d,狭窄,FMT*,32,264.105110384952
2d,狭窄,RRT#,32,227.167926434924
2d,狭窄,AB-IRRT*,32,212.885243942151
2d,狭窄,RRT*,33,218.849476629829
2d,狭窄,Informed-RRT*,33,218.849476629829
2d,狭窄,PRM*,33,302.957294104695
2d,狭窄,FMT*,33,257.257340486149
2d,狭窄,BIT*,33,238.90626570266
2d,狭窄,RRT#,33,218.243670386557
2d,狭窄,AB-IRRT*,33,212.885243942151
2d,狭窄,RRT*,34,227.168890151859
2d,狭窄,Informed-RRT*,34,227.168890151859
2d,狭窄,PRM*,34,243.310516885058
2d,狭窄,FMT*,34,250.785679066424
2d,狭窄,RRT#,34,224.55533983174
2d,狭窄,AB-IRRT*,34,212.885243942151
2d,狭窄,RRT*,35,271.745585029315
2d,狭窄,Informed-RRT*,35,271.745585029315
2d,狭窄,PRM*,35,241.561342374808
2d,狭窄,FMT*,35,238.780825263556
2d,狭窄,RRT#,35,261.852448080625
2d,狭窄,AB-IRRT*,35,212.885243942151
2d,狭窄,RRT*,36,240.450967481202
2d,狭窄,Informed-RRT*,36,240.450967481202
2d,狭窄,PRM*,36,246.714900256231
2d,狭窄,FMT*,36,254.095482773799
2d,狭窄,BIT*,36,248.166825268432
2d,狭窄,RRT#,36,236.830500689925
2d,狭窄,AB-IRRT*,36,212.885243942151
2d,狭窄,RRT*,37,243.206343448003
2d,狭窄,Informed-RRT*,37,243.206343448003
2d,狭窄,PRM*,37,245.12865758137
2d,狭窄,FMT*,37,255.147520947497
2d,狭窄,BIT*,37,248.167019900622
2d,狭窄,RRT#,37,242.974182851492
2d,狭窄,AB-IRRT*,37,212.885243942151
2d,狭窄,RRT*,38,248.849031003287
2d,狭窄,Informed-RRT*,38,248.849031003287
2d,狭窄,PRM*,38,238.369791843461
2d,狭窄,FMT*,38,246.570154797255
2d,狭窄,RRT#,38,247.811027734788
2d,狭窄,AB-IRRT*,38,212.885243942151
2d,狭窄,RRT*,39,257.337320121602
2d,狭窄,Informed-RRT*,39,257.337320121602
2d,狭窄,PRM*,39,335.631575807997
2d,狭窄,FMT*,39,246.972308655833
2d,狭窄,RRT#,39,256.113304882193
2d,狭窄,AB-IRRT*,39,212.885243942151
2d,狭窄,RRT*,40,245.611828583224
2d,狭窄,Informed-RRT*,40,245.611828583224
2d,狭窄,PRM*,40,245.479115973223
2d,狭窄,FMT*,40,259.136824364343
2d,狭窄,BIT*,40,253.279281074954
2d,狭窄,RRT#,40,245.468030688756
2d,狭窄,AB-IRRT*,40,212.885243942151
2d,狭窄,RRT*,41,225.308577608792
2d,狭窄,Informed-RRT*,41,225.308577608792
2d,狭窄,PRM*,41,250.235970657632
2d,狭窄,FMT*,41,246.025299892831
2d,狭窄,RRT#,41,221.473576883727
2d,狭窄,AB-IRRT*,41,212.885243942151
2d,狭窄,RRT*,42,218.187843760334
2d,狭窄,Informed-RRT*,42,218.187843760334
2d,狭窄,PRM*,42,240.810272112954
2d,狭窄,FMT*,42,271.56476115007
2d,狭窄,RRT#,42,218.099045784555
2d,狭窄,AB-IRRT*,42,212.885243942151
2d,狭窄,RRT*,43,242.014707639278
2d,狭窄,Informed-RRT*,43,242.014707639278
2d,狭窄,PRM*,43,252.808727615715
2d,狭窄,FMT*,43,258.241608299842
2d,狭窄,BIT*,43,251.08663938117
2d,狭窄,RRT#,43,241.491662162447
2d,狭窄,AB-IRRT*,43,212.885243942151
2d,狭窄,RRT*,44,222.587331956693
2d,狭窄,Informed-RRT*,44,222.587331956693
