dim,scenario,seed,margin,reactiveOK,fallback,kind,iters,escapes,sideFlips,cycles,time,length
3d,悬空,20261908,0,1,0,reactive,54,1,8,8,0.0104,372.304
3d,悬空,20261909,0,1,0,reactive,54,1,8,8,0.0067,372.304
3d,悬空,20261910,0,1,0,reactive,54,1,8,8,0.0082,372.304
3d,悬空,20261911,0,1,0,reactive,54,1,8,8,0.0058,372.304
3d,悬空,20261912,0,1,0,reactive,54,1,8,8,0.0041,372.304
3d,悬空,20261913,0,1,0,reactive,54,1,8,8,0.0034,372.304
3d,悬空,20261914,0,1,0,reactive,54,1,8,8,0.0035,372.304
3d,悬空,20261915,0,1,0,reactive,54,1,8,8,0.0045,372.304
3d,悬空,20261916,0,1,0,reactive,54,1,8,8,0.0054,372.304
3d,悬空,20261917,0,1,0,reactive,54,1,8,8,0.0048,372.304
3d,悬空,20261918,0,1,0,reactive,54,1,8,8,0.0057,372.304
3d,悬空,20261919,0,1,0,reactive,54,1,8,8,0.0078,372.304
3d,悬空,20261920,0,1,0,reactive,54,1,8,8,0.0032,372.304
3d,环廊,20261901,0,1,0,reactive,40,2,3,3,0.0079,243.383
3d,环廊,20261902,0,1,0,reactive,40,2,3,3,0.0033,243.383
3d,环廊,20261903,0,1,0,reactive,40,2,3,3,0.0026,243.383
3d,环廊,20261904,0,1,0,reactive,40,2,3,3,0.0030,243.383
3d,环廊,20261905,0,1,0,reactive,40,2,3,3,0.0071,243.383
3d,环廊,20261906,0,1,0,reactive,40,2,3,3,0.0026,243.383
3d,环廊,20261907,0,1,0,reactive,40,2,3,3,0.0027,243.383
3d,环廊,20261908,0,1,0,reactive,40,2,3,3,0.0027,243.383
3d,环廊,20261909,0,1,0,reactive,40,2,3,3,0.0029,243.383
3d,环廊,20261910,0,1,0,reactive,40,2,3,3,0.0068,243.383
3d,环廊,20261911,0,1,0,reactive,40,2,3,3,0.0044,243.383
3d,环廊,20261912,0,1,0,reactive,40,2,3,3,0.0035,243.383
3d,环廊,20261913,0,1,0,reactive,40,2,3,3,0.0100,243.383
3d,环廊,20261914,0,1,0,reactive,40,2,3,3,0.0083,243.383
3d,环廊,20261915,0,1,0,reactive,40,2,3,3,0.0036,243.383
3d,环廊,20261916,0,1,0,reactive,40,2,3,3,0.0030,243.383
3d,环廊,20261917,0,1,0,reactive,40,2,3,3,0.0031,243.383
3d,环廊,20261918,0,1,0,reactive,40,2,3,3,0.0049,243.383
3d,环廊,20261919,0,1,0,reactive,40,2,3,3,0.0070,243.383
3d,环廊,20261920,0,1,0,reactive,40,2,3,3,0.0049,243.383
3d,悬挑,20261901,0,0,1,rrt-connect,3,0,5,5,0.2317,249.979
3d,悬挑,20261902,0,0,1,rrt-connect,3,0,5,5,0.2586,250.133
3d,悬挑,20261903,0,0,1,rrt-connect,3,0,5,5,0.2480,251.577
3d,悬挑,20261904,0,0,1,rrt-connect,3,0,5,5,0.1942,249.886
3d,悬挑,20261905,0,0,1,rrt-connect,4,0,5,5,0.2268,251.746
3d,悬挑,20261906,0,0,1,rrt-connect,3,0,5,5,0.1886,252.200
3d,悬挑,20261907,0,0,1,rrt-connect,4,0,5,5,0.1975,250.932
3d,悬挑,20261908,0,0,1,rrt-connect,4,0,5,5,0.2109,251.185
3d,悬挑,20261909,0,0,1,rrt-connect,4,0,5,5,0.2014,250.527
3d,悬挑,20261910,0,0,1,rrt-connect,3,0,5,5,0.1676,250.631
3d,悬挑,20261911,0,0,1,rrt-connect,3,0,5,5,0.1651,253.584
3d,悬挑,20261912,0,0,1,rrt-connect,3,0,5,5,0.2533,249.967
3d,悬挑,20261913,0,0,1,rrt-connect,3,0,5,5,0.1811,249.390
3d,悬挑,20261914,0,0,1,rrt-connect,3,0,5,5,0.1507,250.688
3d,悬挑,20261915,0,0,1,rrt-connect,3,0,5,5,0.1516,250.036
3d,悬挑,20261916,0,0,1,rrt-connect,4,0,5,5,0.1286,252.200
3d,悬挑,20261917,0,0,1,rrt-connect,3,0,5,5,0.1673,250.626
3d,悬挑,20261918,0,0,1,rrt-connect,2,0,5,5,0.1544,251.011
3d,悬挑,20261919,0,0,1,rrt-connect,3,0,5,5,0.1531,249.913
3d,悬挑,20261920,0,0,1,rrt-connect,3,0,5,5,0.1373,253.439
2d,一般,20261901,0.25,1,0,reactiveOnly,52,1,5,5,0.0015,231.428
2d,一般,20261902,0.25,1,0,reactiveOnly,52,1,5,5,0.0013,231.428
2d,一般,20261903,0.25,1,0,reactiveOnly,52,1,5,5,0.0012,231.428
2d,一般,20261904,0.25,1,0,reactiveOnly,52,1,5,5,0.0016,231.428
2d,一般,20261905,0.25,1,0,reactiveOnly,52,1,5,5,0.0016,231.428
2d,一般,20261906,0.25,1,0,reactiveOnly,52,1,5,5,0.0027,231.428
2d,一般,20261907,0.25,1,0,reactiveOnly,52,1,5,5,0.0032,231.428
2d,一般,20261908,0.25,1,0,reactiveOnly,52,1,5,5,0.0055,231.428
2d,一般,20261909,0.25,1,0,reactiveOnly,52,1,5,5,0.0053,231.428
2d,一般,20261910,0.25,1,0,reactiveOnly,52,1,5,5,0.0051,231.428
2d,狭窄,20261901,0.25,0,0,reactiveOnly,74,2,9,8,0.0038,NaN
2d,狭窄,20261902,0.25,0,0,reactiveOnly,74,2,9,8,0.0019,NaN
2d,狭窄,20261903,0.25,0,0,reactiveOnly,74,2,9,8,0.0019,NaN
2d,狭窄,20261904,0.25,0,0,reactiveOnly,74,2,9,8,0.0019,NaN
2d,狭窄,20261905,0.25,0,0,reactiveOnly,74,2,9,8,0.0021,NaN
2d,狭窄,20261906,0.25,0,0,reactiveOnly,74,2,9,8,0.0021,NaN
2d,狭窄,20261907,0.25,0,0,reactiveOnly,74,2,9,8,0.0031,NaN
2d,狭窄,20261908,0.25,0,0,reactiveOnly,74,2,9,8,0.0023,NaN
2d,狭窄,20261909,0.25,0,0,reactiveOnly,74,2,9,8,0.0020,NaN
2d,狭窄,20261910,0.25,0,0,reactiveOnly,74,2,9,8,0.0023,NaN
2d,广阔,20261901,0.25,1,0,reactiveOnly,63,1,2,2,0.0015,266.810
2d,广阔,20261902,0.25,1,0,reactiveOnly,63,1,2,2,0.0017,266.810
2d,广阔,20261903,0.25,1,0,reactiveOnly,63,1,2,2,0.0019,266.810
2d,广阔,20261904,0.25,1,0,reactiveOnly,63,1,2,2,0.0015,266.810
2d,广阔,20261905,0.25,1,0,reactiveOnly,63,1,2,2,0.0020,266.810
2d,广阔,20261906,0.25,1,0,reactiveOnly,63,1,2,2,0.0020,266.810
2d,广阔,20261907,0.25,1,0,reactiveOnly,63,1,2,2,0.0024,266.810
2d,广阔,20261908,0.25,1,0,reactiveOnly,63,1,2,2,0.0024,266.810
2d,广阔,20261909,0.25,1,0,reactiveOnly,63,1,2,2,0.0024,266.810
2d,广阔,20261910,0.25,1,0,reactiveOnly,63,1,2,2,0.0026,266.810
3d,一般,20261901,0.25,0,0,reactiveOnly,91,3,13,13,0.0095,NaN
3d,一般,20261902,0.25,0,0,reactiveOnly,91,3,13,13,0.0117,NaN
3d,一般,20261903,0.25,0,0,reactiveOnly,91,3,13,13,0.0094,NaN
3d,一般,20261904,0.25,0,0,reactiveOnly,91,3,13,13,0.0095,NaN
3d,一般,20261905,0.25,0,0,reactiveOnly,91,3,13,13,0.0107,NaN
3d,一般,20261906,0.25,0,0,reactiveOnly,91,3,13,13,0.0144,NaN
3d,一般,20261907,0.25,0,0,reactiveOnly,91,3,13,13,0.0158,NaN
3d,一般,20261908,0.25,0,0,reactiveOnly,91,3,13,13,0.0155,NaN
3d,一般,20261909,0.25,0,0,reactiveOnly,91,3,13,13,0.0115,NaN
3d,一般,20261910,0.25,0,0,reactiveOnly,91,3,13,13,0.0096,NaN
3d,狭窄,20261901,0.25,1,0,reactiveOnly,53,1,6,6,0.0057,350.509
3d,狭窄,20261902,0.25,1,0,reactiveOnly,53,1,6,6,0.0052,350.509
3d,狭窄,20261903,0.25,1,0,reactiveOnly,53,1,6,6,0.0046,350.509
3d,狭窄,20261904,0.25,1,0,reactiveOnly,53,1,6,6,0.0042,350.509
3d,狭窄,20261905,0.25,1,0,reactiveOnly,53,1,6,6,0.0041,350.509
3d,狭窄,20261906,0.25,1,0,reactiveOnly,53,1,6,6,0.0048,350.509
3d,狭窄,20261907,0.25,1,0,reactiveOnly,53,1,6,6,0.0056,350.509
3d,狭窄,20261908,0.25,1,0,reactiveOnly,53,1,6,6,0.0053,350.509
3d,狭窄,20261909,0.25,1,0,reactiveOnly,53,1,6,6,0.0098,350.509
3d,狭窄,20261910,0.25,1,0,reactiveOnly,53,1,6,6,0.0043,350.509
3d,悬空,20261901,0.25,0,0,reactiveOnly,2500,0,10,10,0.1727,NaN
3d,悬空,20261902,0.25,0,0,reactiveOnly,2500,0,10,10,0.1684,NaN
3d,悬空,20261903,0.25,0,0,reactiveOnly,2500,0,10,10,0.1661,NaN
3d,悬空,20261904,0.25,0,0,reactiveOnly,2500,0,10,10,0.1831,NaN
3d,悬空,20261905,0.25,0,0,reactiveOnly,2500,0,10,10,0.1734,NaN
3d,悬空,20261906,0.25,0,0,reactiveOnly,2500,0,10,10,0.1541,NaN
3d,悬空,20261907,0.25,0,0,reactiveOnly,2500,0,10,10,0.1565,NaN
3d,悬空,20261908,0.25,0,0,reactiveOnly,2500,0,10,10,0.1759,NaN
3d,悬空,20261909,0.25,0,0,reactiveOnly,2500,0,10,10,0.1699,NaN
3d,悬空,20261910,0.25,0,0,reactiveOnly,2500,0,10,10,0.1725,NaN
3d,环廊,20261901,0.25,1,0,reactiveOnly,51,0,6,6,0.0046,303.239
3d,环廊,20261902,0.25,1,0,reactiveOnly,51,0,6,6,0.0037,303.239
3d,环廊,20261903,0.25,1,0,reactiveOnly,51,0,6,6,0.0047,303.239
3d,环廊,20261904,0.25,1,0,reactiveOnly,51,0,6,6,0.0049,303.239
3d,环廊,20261905,0.25,1,0,reactiveOnly,51,0,6,6,0.0079,303.239
3d,环廊,20261906,0.25,1,0,reactiveOnly,51,0,6,6,0.0072,303.239
3d,环廊,20261907,0.25,1,0,reactiveOnly,51,0,6,6,0.0052,303.239
3d,环廊,20261908,0.25,1,0,reactiveOnly,51,0,6,6,0.0067,303.239
3d,环廊,20261909,0.25,1,0,reactiveOnly,51,0,6,6,0.0085,303.239
3d,环廊,20261910,0.25,1,0,reactiveOnly,51,0,6,6,0.0078,303.239
3d,悬挑,20261901,0.25,1,0,reactiveOnly,49,0,3,3,0.0029,318.260
3d,悬挑,20261902,0.25,1,0,reactiveOnly,49,0,3,3,0.0056,318.260
3d,悬挑,20261903,0.25,1,0,reactiveOnly,49,0,3,3,0.0028,318.260
3d,悬挑,20261904,0.25,1,0,reactiveOnly,49,0,3,3,0.0026,318.260
3d,悬挑,20261905,0.25,1,0,reactiveOnly,49,0,3,3,0.0026,318.260
3d,悬挑,20261906,0.25,1,0,reactiveOnly,49,0,3,3,0.0058,318.260
3d,悬挑,20261907,0.25,1,0,reactiveOnly,49,0,3,3,0.0076,318.260
3d,悬挑,20261908,0.25,1,0,reactiveOnly,49,0,3,3,0.0034,318.260
3d,悬挑,20261909,0.25,1,0,reactiveOnly,49,0,3,3,0.0025,318.260
3d,悬挑,20261910,0.25,1,0,reactiveOnly,49,0,3,3,0.0026,318.260
2d,一般,20261901,0.50,1,0,reactiveOnly,52,1,4,4,0.0014,231.346
2d,一般,20261902,0.50,1,0,reactiveOnly,52,1,4,4,0.0017,231.346
2d,一般,20261903,0.50,1,0,reactiveOnly,52,1,4,4,0.0014,231.346
2d,一般,20261904,0.50,1,0,reactiveOnly,52,1,4,4,0.0013,231.346
2d,一般,20261905,0.50,1,0,reactiveOnly,52,1,4,4,0.0016,231.346
2d,一般,20261906,0.50,1,0,reactiveOnly,52,1,4,4,0.0012,231.346
2d,一般,20261907,0.50,1,0,reactiveOnly,52,1,4,4,0.0012,231.346
2d,一般,20261908,0.50,1,0,reactiveOnly,52,1,4,4,0.0012,231.346
2d,一般,20261909,0.50,1,0,reactiveOnly,52,1,4,4,0.0014,231.346
2d,一般,20261910,0.50,1,0,reactiveOnly,52,1,4,4,0.0014,231.346
2d,狭窄,20261901,0.50,0,0,reactiveOnly,63,1,9,8,0.0025,NaN
2d,狭窄,20261902,0.50,0,0,reactiveOnly,63,1,9,8,0.0027,NaN
2d,狭窄,20261903,0.50,0,0,reactiveOnly,63,1,9,8,0.0030,NaN
2d,狭窄,20261904,0.50,0,0,reactiveOnly,63,1,9,8,0.0039,NaN
2d,狭窄,20261905,0.50,0,0,reactiveOnly,63,1,9,8,0.0034,NaN
2d,狭窄,20261906,0.50,0,0,reactiveOnly,63,1,9,8,0.0027,NaN
2d,狭窄,20261907,0.50,0,0,reactiveOnly,63,1,9,8,0.0041,NaN
2d,狭窄,20261908,0.50,0,0,reactiveOnly,63,1,9,8,0.0041,NaN
2d,狭窄,20261909,0.50,0,0,reactiveOnly,63,1,9,8,0.0034,NaN
2d,狭窄,20261910,0.50,0,0,reactiveOnly,63,1,9,8,0.0063,NaN
2d,广阔,20261901,0.50,1,0,reactiveOnly,62,1,4,4,0.0016,261.236
2d,广阔,20261902,0.50,1,0,reactiveOnly,62,1,4,4,0.0016,261.236
2d,广阔,20261903,0.50,1,0,reactiveOnly,62,1,4,4,0.0016,261.236
2d,广阔,20261904,0.50,1,0,reactiveOnly,62,1,4,4,0.0016,261.236
2d,广阔,20261905,0.50,1,0,reactiveOnly,62,1,4,4,0.0016,261.236
2d,广阔,20261906,0.50,1,0,reactiveOnly,62,1,4,4,0.0015,261.236
2d,广阔,20261907,0.50,1,0,reactiveOnly,62,1,4,4,0.0016,261.236
2d,广阔,20261908,0.50,1,0,reactiveOnly,62,1,4,4,0.0013,261.236
