variant,scenario,run,seed,success,length,time,firstSolutionTime,tPre,tOpt,nodes,turnSum,minClear,escapes,sideFlips,fallback
w/o dynamic rewiring,一般,15,20261918,1,274.878125891368,0.4987637,0.0046715,0.0046715,0.4939934,4200,6.45831954143508,0.345402894605211,0,5,0
AB-IRRT* (full),一般,15,20261918,1,264.740393502253,0.4808672,0.0048857,0.0048857,0.4758693,4050,2.32985332483451,0.177756504873788,0,5,0
APF-only,一般,16,20261919,1,442.385244950109,0.0040163,0.0039311,0.0040163,0,NaN,38.6413649792452,0.185991746715437,0,5,0
Informed-RRT*,一般,16,20261919,1,273.406779157532,0.5123489,0.0080299,0,0.5123489,4293,7.11190028547604,0.686922093696615,NaN,NaN,0
w/o seed shortcutting,一般,16,20261919,1,267.480551891358,0.438524,0.0043662,0.0043662,0.4340465,4163,3.44916452998892,0.998246312835352,0,5,0
w/o ellipse seeding,一般,16,20261919,1,265.577165895707,0.5063516,0.0061644,0.0061644,0.5000732,4191,3.51883565720158,1.48592043181589,0,5,0
w/o path-bias sampling,一般,16,20261919,1,266.811326129062,0.4692942,0.0061884,0.0061884,0.4629908,4084,3.72610221789757,0.253849698871421,0,5,0
w/o dynamic rewiring,一般,16,20261919,1,276.853248435528,0.5541681,0.0076174,0.0076174,0.5463977,4187,1.94771587565652,0.292802083782291,0,5,0
AB-IRRT* (full),一般,16,20261919,1,267.512439777211,0.4900458,0.0060578,0.0060578,0.4838784,4079,3.22507422888536,0.0636797275261234,0,5,0
APF-only,一般,17,20261920,1,442.385244950109,0.0085917,0.0083695,0.0085917,0,NaN,38.6413649792452,0.185991746715437,0,5,0
Informed-RRT*,一般,17,20261920,1,281.398221485968,0.5645522,0.0086799,0,0.5645522,4379,9.07434861093436,0.639690757916643,NaN,NaN,0
w/o seed shortcutting,一般,17,20261920,1,265.7637132715,0.4747413,0.0060756,0.0060756,0.4685305,4164,1.95809146909788,1.85081091276782,0,5,0
w/o ellipse seeding,一般,17,20261920,1,268.83056857397,0.4979805,0.0058843,0.0058843,0.4919774,4161,3.50290184133067,0.907793820297078,0,5,0
w/o path-bias sampling,一般,17,20261920,1,265.565381321126,0.4892315,0.0060955,0.0060955,0.4830176,4000,3.00624475145587,0.0998543797596477,0,5,0
w/o dynamic rewiring,一般,17,20261920,1,276.853248435528,0.5842583,0.0065098,0.0065098,0.5776153,4183,1.94771587565652,0.292802083782291,0,5,0
AB-IRRT* (full),一般,17,20261920,1,264.504477180278,0.4455394,0.0063936,0.0063936,0.4390235,4020,2.40088417685622,0.169950997568472,0,5,0
APF-only,一般,18,20261921,1,442.385244950109,0.0036043,0.003511,0.0036043,0,NaN,38.6413649792452,0.185991746715437,0,5,0
Informed-RRT*,一般,18,20261921,1,277.315894679036,0.5334102,0.0076738,0,0.5334102,4414,9.72583167477302,0.124475211393614,NaN,NaN,0
w/o seed shortcutting,一般,18,20261921,1,265.893125721783,0.4364613,0.0038925,0.0038925,0.4323262,4125,3.38284389808625,0.140636882776803,0,5,0
