dim,scenario,capTag,capSeconds,algorithm,run,seed,success,length,time,firstSolutionTime
2d,一般,1,0.09042529,AB-IRRT*,24,20261927,1,209.431127018011,0.0909158,0.0016443
2d,一般,1,0.09042529,RRT*,25,20261928,1,216.604437618413,0.0907238,0.0056119
2d,一般,1,0.09042529,Informed-RRT*,25,20261928,1,209.623455810514,0.091141,0.0057797
2d,一般,1,0.09042529,PRM*,25,20261928,1,212.262640505062,0.0925171,0.0042735
2d,一般,1,0.09042529,FMT*,25,20261928,1,214.949368465739,0.0910671,0.0107022
2d,一般,1,0.09042529,BIT*,25,20261928,1,210.97155240518,0.0911813,0.0323448
2d,一般,1,0.09042529,RRT#,25,20261928,1,215.943326549672,0.0910487,0.006544
2d,一般,1,0.09042529,APF-only,25,20261928,1,229.358752665851,0.0017501,0.0016208
2d,一般,1,0.09042529,AB-IRRT*,25,20261928,1,208.963383975871,0.0910334,0.0015803
2d,一般,1,0.09042529,RRT*,26,20261929,1,214.602023369381,0.0910087,0.009115
2d,一般,1,0.09042529,Informed-RRT*,26,20261929,1,212.325554567032,0.090756,0.0094666
2d,一般,1,0.09042529,PRM*,26,20261929,1,216.127874197645,0.0927676,0.0030356
2d,一般,1,0.09042529,FMT*,26,20261929,1,213.092631754583,0.0911021,0.0096218
2d,一般,1,0.09042529,BIT*,26,20261929,1,211.111718327949,0.0919755,0.0312421
2d,一般,1,0.09042529,RRT#,26,20261929,1,211.324535267978,0.0909158,0.0091572
2d,一般,1,0.09042529,APF-only,26,20261929,1,229.358752665851,0.0016285,0.0015167
2d,一般,1,0.09042529,AB-IRRT*,26,20261929,1,209.517175188425,0.0908929,0.0016138
2d,一般,1,0.09042529,RRT*,27,20261930,1,213.084657557915,0.0906732,0.0065979
2d,一般,1,0.09042529,Informed-RRT*,27,20261930,1,210.821997192457,0.0907874,0.0065709
2d,一般,1,0.09042529,PRM*,27,20261930,1,211.877578932185,0.0925694,0.0011161
2d,一般,1,0.09042529,FMT*,27,20261930,1,216.632490304189,0.0911409,0.0191096
2d,一般,1,0.09042529,BIT*,27,20261930,1,212.752671295253,0.0916769,0.0244747
2d,一般,1,0.09042529,RRT#,27,20261930,1,210.375963798157,0.0909735,0.0094645
2d,一般,1,0.09042529,APF-only,27,20261930,1,229.358752665851,0.0015107,0.0014066
2d,一般,1,0.09042529,AB-IRRT*,27,20261930,1,209.162362551312,0.0908428,0.0015304
2d,一般,1,0.09042529,RRT*,28,20261931,1,214.597788237389,0.0908503,0.0143376
2d,一般,1,0.09042529,Informed-RRT*,28,20261931,1,220.468230373879,0.0907935,0.0142224
2d,一般,1,0.09042529,PRM*,28,20261931,1,209.828978071896,0.0924688,0.0020198
2d,一般,1,0.09042529,FMT*,28,20261931,1,214.143729840534,0.0915778,0.0058757
2d,一般,1,0.09042529,BIT*,28,20261931,1,210.322784088997,0.0913098,0.0301522
2d,一般,1,0.09042529,RRT#,28,20261931,1,209.791809119535,0.0911096,0.0185083
2d,一般,1,0.09042529,APF-only,28,20261931,1,229.358752665851,0.0019805,0.0018523
2d,一般,1,0.09042529,AB-IRRT*,28,20261931,1,209.025334545919,0.0911375,0.0022656
2d,一般,1,0.09042529,RRT*,29,20261932,1,213.980101446838,0.0907832,0.0079747
2d,一般,1,0.09042529,Informed-RRT*,29,20261932,1,209.942160758115,0.0908593,0.0069878
2d,一般,1,0.09042529,PRM*,29,20261932,1,223.817764406305,0.0920416,0.0084036
2d,一般,1,0.09042529,FMT*,29,20261932,1,217.019502609368,0.0910109,0.033157
2d,一般,1,0.09042529,BIT*,29,20261932,0,Inf,0.0939926,NaN
2d,一般,1,0.09042529,RRT#,29,20261932,1,210.099228156531,0.0911893,0.0095261
2d,一般,1,0.09042529,APF-only,29,20261932,1,229.358752665851,0.001729,0.0016166
2d,一般,1,0.09042529,AB-IRRT*,29,20261932,1,208.960370594794,0.0908745,0.0016929
2d,一般,1,0.09042529,RRT*,30,20261933,1,214.661331217412,0.0907793,0.0149902
2d,一般,1,0.09042529,Informed-RRT*,30,20261933,1,210.173057154185,0.0907835,0.0128053
2d,一般,1,0.09042529,PRM*,30,20261933,1,209.726719907185,0.0920437,0.0037007
2d,一般,1,0.09042529,FMT*,30,20261933,1,214.441756275809,0.0910213,0.0366318
2d,一般,1,0.09042529,BIT*,30,20261933,1,215.245181049135,0.0910201,0.0906316
2d,一般,1,0.09042529,RRT#,30,20261933,1,211.49436113534,0.0911192,0.0158043
2d,一般,1,0.09042529,APF-only,30,20261933,1,229.358752665851,0.0016792,0.0015704
2d,一般,1,0.09042529,AB-IRRT*,30,20261933,1,208.982981441067,0.0910115,0.0021562
2d,一般,2,0.18085058,RRT*,1,20261904,1,209.593602229408,0.1813244,0.0041751
2d,一般,2,0.18085058,Informed-RRT*,1,20261904,1,208.946286738917,0.1814072,0.0048988
2d,一般,2,0.18085058,PRM*,1,20261904,1,213.367560532955,0.1844357,0.000821
2d,一般,2,0.18085058,FMT*,1,20261904,1,218.695625137044,0.1816056,0.0044978
2d,一般,2,0.18085058,BIT*,1,20261904,1,211.062026620553,0.1819106,0.0044696
2d,一般,2,0.18085058,RRT#,1,20261904,1,209.400276543746,0.1813834,0.0079421
2d,一般,2,0.18085058,APF-only,1,20261904,1,229.358752665851,0.0016768,0.001565
2d,一般,2,0.18085058,AB-IRRT*,1,20261904,1,209.829931404678,0.1813323,0.0016859
2d,一般,2,0.18085058,RRT*,2,20261905,1,210.03517189796,0.1812634,0.0053237
2d,一般,2,0.18085058,Informed-RRT*,2,20261905,1,208.874203204604,0.1813177,0.0071356
2d,一般,2,0.18085058,PRM*,2,20261905,1,212.294398314273,0.1842695,0.0006964
2d,一般,2,0.18085058,FMT*,2,20261905,1,216.920986504559,0.1813895,0.0129251
2d,一般,2,0.18085058,BIT*,2,20261905,0,Inf,0.1824373,NaN
2d,一般,2,0.18085058,RRT#,2,20261905,1,209.969744487484,0.181434,0.008079
2d,一般,2,0.18085058,APF-only,2,20261905,1,229.358752665851,0.0018676,0.0017551
2d,一般,2,0.18085058,AB-IRRT*,2,20261905,1,208.62067881327,0.1813418,0.0015863
2d,一般,2,0.18085058,RRT*,3,20261906,1,209.801128060426,0.1811159,0.0059589
2d,一般,2,0.18085058,Informed-RRT*,3,20261906,1,209.271362968506,0.181438,0.0057182
2d,一般,2,0.18085058,PRM*,3,20261906,1,216.617604191455,0.1892301,0.0010056
2d,一般,2,0.18085058,FMT*,3,20261906,1,213.761534766052,0.1822352,0.0197348
2d,一般,2,0.18085058,BIT*,3,20261906,1,209.626531740198,0.1823592,0.06816
2d,一般,2,0.18085058,RRT#,3,20261906,1,209.245452535371,0.181287,0.0104602
2d,一般,2,0.18085058,APF-only,3,20261906,1,229.358752665851,0.0012303,0.0011459
2d,一般,2,0.18085058,AB-IRRT*,3,20261906,1,208.831966642751,0.1812759,0.002219
2d,一般,2,0.18085058,RRT*,4,20261907,1,214.159626898985,0.1812784,0.0035291
2d,一般,2,0.18085058,Informed-RRT*,4,20261907,1,209.748064860038,0.1811783,0.0040998
2d,一般,2,0.18085058,PRM*,4,20261907,1,211.95768076799,0.1854626,0.0016471
2d,一般,2,0.18085058,FMT*,4,20261907,1,216.179539509295,0.1820828,0.0080367
2d,一般,2,0.18085058,BIT*,4,20261907,1,211.108966242719,0.182359,0.0365586
2d,一般,2,0.18085058,RRT#,4,20261907,1,209.189620202308,0.1815209,0.0043547
2d,一般,2,0.18085058,APF-only,4,20261907,1,229.358752665851,0.0021507,0.0020168
2d,一般,2,0.18085058,AB-IRRT*,4,20261907,1,209.027134279135,0.1812753,0.0021687
2d,一般,2,0.18085058,RRT*,5,20261908,1,213.379811745348,0.1811823,0.0038441
2d,一般,2,0.18085058,Informed-RRT*,5,20261908,1,209.519029070822,0.181367,0.0057066
2d,一般,2,0.18085058,PRM*,5,20261908,1,211.766430575491,0.1844395,0.0009351
2d,一般,2,0.18085058,FMT*,5,20261908,1,214.686694731312,0.1816118,0.0048098
2d,一般,2,0.18085058,BIT*,5,20261908,1,209.962700888279,0.18248,0.0255347
2d,一般,2,0.18085058,RRT#,5,20261908,1,209.163566405937,0.1820987,0.0066537
2d,一般,2,0.18085058,APF-only,5,20261908,1,229.358752665851,0.0060059,0.0058012
2d,一般,2,0.18085058,AB-IRRT*,5,20261908,1,208.923626476832,0.1814808,0.0026676
2d,一般,2,0.18085058,RRT*,6,20261909,1,210.823237700151,0.181176,0.0136971
2d,一般,2,0.18085058,Informed-RRT*,6,20261909,1,209.03079479774,0.1814227,0.0115144
2d,一般,2,0.18085058,PRM*,6,20261909,1,211.323063837665,0.1845896,0.003693
2d,一般,2,0.18085058,FMT*,6,20261909,1,213.6513381948,0.1825151,0.02565
2d,一般,2,0.18085058,BIT*,6,20261909,1,212.395530467321,0.1815979,0.0695216
2d,一般,2,0.18085058,RRT#,6,20261909,1,209.532953804752,0.1815538,0.0126817
2d,一般,2,0.18085058,APF-only,6,20261909,1,229.358752665851,0.0015506,0.0014365
2d,一般,2,0.18085058,AB-IRRT*,6,20261909,1,208.64777523507,0.1814438,0.00213
2d,一般,2,0.18085058,RRT*,7,20261910,1,212.793542611773,0.1811145,0.0065481
